               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12435,            0.032343,                   0,          0.00043011,            0.078431,          0.00023941,           4.622e-05,             0.11997,            0.030124,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11887,            0.030913,                   0,          0.00027778,            0.058824,          0.00016128,          3.1857e-05,             0.11181,            0.030698,                   0,            0.088294,           0.0012936,           0.0012936
                   2,             0.10819,            0.031927,                   0,           0.0002963,            0.078431,          0.00020339,          3.4055e-05,              0.1045,             0.03069,                   0,             0.08198,           0.0019802,           0.0019802
                   3,             0.10242,            0.029825,                   0,           0.0003268,            0.098039,           0.0002945,          5.0979e-05,            0.097695,            0.030263,                   0,             0.07566,           0.0026599,           0.0026599
                   4,            0.097387,            0.025953,                   0,           0.0010458,             0.31373,           0.0022099,          0.00043877,             0.09363,            0.029487,                   0,            0.069333,           0.0033327,           0.0033327
                   5,             0.10033,            0.028531,                   0,          0.00091503,             0.27451,           0.0022049,          0.00042606,            0.089525,            0.028188,                   0,            0.062999,           0.0039985,           0.0039985
                   6,            0.092863,            0.025686,                   0,           0.0013072,             0.39216,           0.0042727,          0.00070185,            0.086724,            0.027313,                   0,            0.056657,           0.0046574,           0.0046574
                   7,            0.089128,             0.02589,                   0,           0.0029412,             0.88235,            0.019705,           0.0043717,            0.082581,            0.026073,                   0,            0.050309,           0.0053094,           0.0053094
                   8,            0.090735,            0.024375,                   0,            0.002549,             0.76471,            0.011129,           0.0024504,            0.083385,            0.024781,                   0,            0.043954,           0.0059545,           0.0059545
                   9,            0.083633,            0.023429,                   0,           0.0028758,             0.86275,           0.0038965,           0.0010188,            0.091259,            0.023107,                   0,            0.037593,           0.0065926,           0.0065926
                  10,            0.080498,            0.022773,                   0,           0.0031373,             0.94118,            0.018677,           0.0032725,            0.093581,            0.019006,                   0,            0.031224,           0.0072238,           0.0072238
                  11,            0.092751,            0.017078,                   0,            0.003268,             0.98039,             0.01954,           0.0037892,            0.082415,            0.022324,                   0,            0.024848,           0.0078481,           0.0078481
                  12,             0.08324,            0.023271,                   0,            0.003268,             0.98039,            0.021112,           0.0048629,            0.092898,            0.018739,                   0,            0.018465,           0.0084654,           0.0084654
                  13,            0.088871,            0.020352,                   0,            0.003268,             0.98039,            0.021112,           0.0048629,            0.092898,            0.018739,                   0,            0.012076,           0.0090758,           0.0090758
                  14,             0.08519,            0.017251,                   0,           0.0033333,                   1,              0.0533,            0.013002,            0.087963,            0.019799,                   0,            0.009307,            0.009307,            0.009307
                  15,            0.079579,            0.022386,                   0,           0.0032026,             0.96078,            0.037311,           0.0083464,            0.084299,            0.020205,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.077589,            0.021894,                   0,           0.0033333,                   1,            0.048639,           0.0086838,            0.073529,            0.021734,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,             0.08036,            0.018319,                   0,            0.003268,             0.98039,             0.25428,            0.064317,            0.097556,            0.016078,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.085959,            0.017921,                   0,           0.0033333,                   1,            0.032936,           0.0087839,            0.077516,            0.018766,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.079404,            0.021319,                   0,            0.012093,             0.98039,             0.25249,            0.049196,            0.079361,            0.018173,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.077082,             0.01911,                   0,           0.0033333,                   1,             0.19024,            0.045478,            0.071177,            0.020052,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.072679,            0.017529,                   0,           0.0033333,                   1,             0.19024,            0.045478,            0.071177,            0.020052,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.073462,            0.022076,                   0,           0.0033333,                   1,              0.2169,             0.07472,             0.07427,            0.019708,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.070727,            0.021087,                   0,            0.016067,             0.96078,             0.57961,             0.20779,            0.074966,            0.019481,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.065031,            0.019832,                   0,             0.80401,             0.72398,             0.80957,             0.22365,            0.066537,            0.020196,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,             0.07295,            0.016398,                   0,             0.41595,             0.43291,             0.43237,              0.1228,            0.092844,            0.014534,                   0,            0.008812,            0.008812,            0.008812
